Fresho Pomegranate - Peeled 200 gm Tray  Rs. 31
Fresho Pomegranate - Peeled 300 gm Tray  Rs. 236
Fresho Garlic - Peeled 100 gm  Rs. 28
Fresho Jackfruit - Pulp 100 gm  Rs. 24
Fresho Watermelon - Diced 200 gm Tray  Rs. 19.90
Fresho Pineapple - Sliced 1 Pc  Rs. 16
Fresho Diced - Sugarcane 200 gm Pack  Rs. 25
Fresho Sambar Onion - Peeled 200 gm Tray  Rs. 14
Fresho Pulav Mix 350 gm  Rs. 13
Fresho Coriander Leaves 100 gm Tray  Rs. 27
Fresho Cut - Fruit Salad 300 gm  Rs. 34.40
Fresho Diced - Coconut 100 gm  Rs. 19
Fresho Yellow Pumpkin - Avial Cut 200 gm Tray  Rs. 82
Fresho Ladies Finger - Diced 200 gm Tray  Rs. 30
Fresho Jackfruit - Seeds 200 gm  Rs. 14
Fresho Cut Indian Fruit Pack 500 gm  Rs. 13
Fresho Beetroot - Diced 200 gm Tray  Rs. 15
Fresho Beans Cluster - Diced 200 gm Tray  Rs. 14
Fresho Carrots - Grated 200 gm Tray  Rs. 25
Fresho Ginger - Chopped 100 gm  Rs. 39
Fresho Muskmelon - Diced 200 gm Tray  Rs. 28
Fresho Muskmelon - Diced 300 gm Tray  Rs. 15
Fresho Coccinea - Sliced 200 gm Tray  Rs. 11
Fresho Sambar Pack 1 nos  Rs. 23
Fresho Carrots and Peas 200 Gms  Rs. 20
Fresho Banana Stem - Diced 200 gm Tray  Rs. 19
Fresho Yam - Sliced 200 gm Tray  Rs. 14
Fresho Beans - Diced 200 gm  Rs. 33
Fresho Drumstick - Cut 200 gm  Rs. 12
Fresho Broad Beans - Diced 200 gm Tray  Rs. 15
Edanta Foods Coconut - Grated 75 gm  Rs. 32
Fresho Raw Banana - Diced 200 gm Tray  Rs. 33
Fresho Coccinea - Julienne 200 gm Tray  Rs. 10
Fresho Red Cabbage - Grated 200 gm Tray  Rs. 34.40
Fresho Banana Blossom - Peeled 1 PC Tray  Rs. 27
Fresho Spinach - Chopped 200 gm  Rs. 18
Fresho Onion - Thin Sliced 200 gm  Rs. 19
Fresho Beans Cowpea - Diced 200 gm Tray  Rs. 16
Fresho Amaranthus - Chopped 100 gm Tray  Rs. 17
Fresho Capsicum - Diced 200 gm  Rs. 25
Fresho Carrots - Julienne 200 gm Tray  Rs. 15
Fresho Bottle Gourd - Diced 200 gm  Rs. 18
Fresho Bitter Gourd - Diced 200 gm Tray  Rs. 12
Fresho Methi - Chopped 200 gm  Rs. 21
Supa Corn Kernels 150 gm Pouch  Rs. 19
Fresho Soup & Stew Mix 250 gm  Rs. 11
Fresho Carrot - Sliced 200 gm Tray  Rs. 21
Fresho Green Chilly - Chopped 100 gm Tray  Rs. 21
Fresho Ridge Gourd - Diced 300 gm  Rs. 16
Fresho Sandwich Chutney - Mix 300 gm Tray  Rs. 37
Fresho Carrot Strips and Beans Strip 200 Gms  Rs. 18
Fresho White Radish - Sliced 200 gm Tray  Rs. 13
Fresho Potato - Wedges 250 gm  Rs. 21
Fresho Mushroom - Stir Fry 400 gm Tray  Rs. 16
Fresho Raw Mango - Diced 300 gm Tray  Rs. 12
Supa Corn Sweet Corn 1 pc Pouch  Rs. 13
Fresho Mooli Paratha Mix 200 gm  Rs. 32
Fresho Carrot Strips, Aloo Strips, Green peas peeled 250 Gms  Rs. 83
Fresho Veg Medley 200 gm  Rs. 49
Fresho Matar Mushroom 250 gm  Rs. 20
Fresho Karakozhmbu Pack ( Spicy Sambar pack) 1 nos  Rs. 20
Fresho Tomato - Diced 200 gm  Rs. 55.20
Fresho Kids Vegetables 400 gm  Rs. 10
Fresho Potato - Peeled 1 kg  Rs. 13
Fresho Mix - Gobhi Parantha 200 gm Tray  Rs. 34
Fresho Chutney Mix 150 gm  Rs. 15
Fresho White Radish - Diced 200 gm Tray  Rs. 18
Fresho Coleslaw 400 gm Tray  Rs. 10
Fresho Aloo Mutter 1 pc  Rs. 13
Fresho Capsicum - Sliced 200 gm Tray  Rs. 57
Fresho Morekozhambu Pack 1 nos  Rs. 34
Fresho Snake gourd - Diced 300 gm  Rs. 24
Fresho Green Salad 300 gm  Rs. 35
Fresho Makhanwala - Mix 400 gm Tray  Rs. 16
Fresho Continental - Stir Fry 400 gm Tray  Rs. 14
Fresho Broccoli - Salad 400 gm Tray  Rs. 30.40
Fresho Exotic Veg Hamper 1 nos  Rs. 20
Fresho Peeled Vegetable Pack 1 nos  Rs. 10
Fresho Mire Poix 200 gm  Rs. 40
Fresho Broccoli - Florets 200 gm  Rs. 26
Fresho Cauliflower Florets and Brocoli Florets 200 Gms  Rs. 10
Fresho Lettuce Mix 200 gm  Rs. 18.40
