Fresho Onion - Medium 1 kg approx. 10 to 12 nos  Rs. 48.90
Fresho Onion - Medium 5 kg  Rs. 236
Fresho Potato 1 kg approx. 9 to 10 nos  Rs. 19.90
Fresho Tomato Hybrid - Grade A 500 gm approx. 6 to 7 nos  Rs. 8
Fresho Tomato Hybrid - Grade A 1 kg approx. 13 to 14 nos  Rs. 14.90
Fresho Spinach 100 gm  Rs. 27.50
Fresho Spinach 250 gm  Rs. 8
Fresho Spinach 500 gm  Rs. 15
Fresho Spinach 1 kg  Rs. 8
Fresho Carrot Local - Grade A 1 kg approx. 14 to 15 nos  Rs. 18
Fresho Carrot Local - Grade A 250 gm  Rs. 32
Fresho Carrot Local - Grade A 500 gm approx. 7 to 8 nos  Rs. 59
Fresho Chilli Green Big - Grade A 500 gm  Rs. 54.50
Fresho Chilli Green Big - Grade A
 1 kg  Rs. 16
Fresho Chilli Green Big - Grade A
 100 gm  Rs. 30
Fresho Chilli Green Big - Grade A 250 gm  Rs. 22
Fresho Lemon - Grade A 500 gm approx. 13 to 14 nos  Rs. 39.50
Fresho Lemon - Grade A 1 kg  Rs. 5
Fresho Lemon - Grade A 100 gm approx. 3 to 4 nos  Rs. 12
Fresho Lemon - Grade A 250 gm approx. 6 to 7 nos  Rs. 10
Fresho Coriander Hybrid Grade A 100 gm  Rs. 18
Fresho Coriander Hybrid - Grade A 250 gm  Rs. 31.90
Fresho Coriander Hybrid - Grade A 500 gm  Rs. 60
Fresho Coriander Hybrid - Grade A 1 kg  Rs. 109
Fresho Fresh Ginger - Grade A 100 gm  Rs. 14
Fresho Fresh Ginger  - Grade A 250 gm  Rs. 33
Fresho Fresh Ginger - Grade A 500 gm approx. 3 to 4 nos  Rs. 8
Fresho Fresh Ginger - Grade A 1 kg  Rs. 18
Fresho Tomato Local - Grade A 500 gm approx. 6 to 7 nos  Rs. 32
Fresho Tomato Local - Grade A 1 kg approx. 13 to 14 nos  Rs. 59
Fresho Cabbage Small - Grade A 1 pc approx. 700 to 800 gm  Rs. 14
Fresho Bottle Gourd 600 gm approx. 1 pc  Rs. 33
Fresho Bottle Gourd - Grade A
 1 kg  Rs. 61
Fresho Beans - French Ring (Grade A) 250 gm  Rs. 110
Fresho Beans - French Ring (Grade A) 500 gm  Rs. 9
Fresho Beans - French Ring (Grade A) 1 kg  Rs. 16.90
Fresho Ridge Gourd - Grade A 500 gm approx. 3 to 4 nos  Rs. 11
Fresho Ridge Gourd - Grade A 1 kg approx. 5 to 6 nos  Rs. 20
Fresho Fenugreek - Grade A 250 gm  Rs. 19.50
Fresho Fenugreek - Grade A 500 gm  Rs. 13
Fresho Fenugreek - Grade A 1 kg  Rs. 19.90
Fresho Coccinia - Grade A 1 kg  Rs. 64
