Tvs Organics Onion - Regular 1 kg  Rs. 66.90
Channahalli Certified Organic Spring Onion Grade A 200 gm  Rs. 19.90
Tvs Organics Lemon 4 pcs  Rs. 29.90
Tvs Organics Ladies Finger 500 gm  Rs. 24.90
Tvs Organics Tomato - Country 1 kg  Rs. 24.90
Channahalli Certified Organic Organic - Banana Yelakki Semi Ripe 500 gm  Rs. 49.90
Tvs Organics Ginger 200 gm  Rs. 35.90
Tvs Organics Cucumber 500 gm  Rs. 39.90
Tvs Organics Cabbage 1 pc  Rs. 34.90
Ambrosia Ladies Finger 250 gm  Rs. 17.90
Healthy Buddha Pomegranate Kesar 500 gm  Rs. 39.90
Tvs Organics Tomato - Hybrid 1 kg  Rs. 99.90
Fresho Organically Grown - Tomato Hybrid 500 gm  Rs. 15.90
Fresho Organically Grown - Carrot 500 gm  Rs. 99.90
Tvs Organics Capsicum Green 500 gm  Rs. 39.90
Fresho Organically Grown - Tomato Local 500 gm  Rs. 19.90
Fresho Organically Grown - Ridge Gourd 500 gm  Rs. 19.90
Fresho Organically Grown - Ridge Gourd 1 kg  Rs. 34.90
Fresho Organically Grown - Beans 500 gm  Rs. 34.90
Tvs Organics Brinjal 500 gm  Rs. 29.90
Tvs Organics Raw Banana 2 pcs  Rs. 17.90
Channahalli Certified Organic Ladies Fingers - Grade A 250 gm  Rs. 24.90
Tvs Organics Chilli - Green 250 gm  Rs. 42.90
Fresho Organically Grown - Guava 500 gm  Rs. 34.90
Tvs Organics Ridge gourd 1KG  Rs. 34.90
Fresho Organically Grown - Spinach 250 gm  Rs. 19.90
Tvs Organics Bottle gourd 1kg  Rs. 24.90
Fresho Organically Grown - Coriander 100 gm  Rs. 14.90
Tvs Organics Beetroot 500 gm  Rs. 59.90
Fresho Organically Grown - Lemon 4 pcs  Rs. 19.90
Fresho Organically Grown - Ladies Finger 500 gm  Rs. 44.90
Fresho Organically Grown - Papaya 1 pc  Rs. 29.90
Tvs Organics Bitter Gourd 500 gm  Rs. 34.90
Fresho Organically Grown - Potato Ooty 500 kg  Rs. 24.90
Fresho Organically Grown - Potato Ooty 1 kg  Rs. 34.90
Tvs Organics Onion - Small 500 gm  Rs. 9.90
Fresho Organically Grown - Raw Banana 250 gm  Rs. 13
Fresho Organically Grown - Custard Apple 500 gm  Rs. 23.50
Fresho Organically Grown - Chilly Green Big 500 gm  Rs. 34.90
Farmerie Organic - Sweet lime (Musambi) 500 gm approx. 3 nos  Rs. 24.90
Fresho Organically Grown - Ginger 250 gm  Rs. 19.90
First Agro Bottle Gourd 1 pc  Rs. 9.90
Gopalan Organic Coriander 100 gm  Rs. 44.90
Fresho Organically Grown - Fenugreek 250 gm  Rs. 29.90
Fresho Organically Grown - Coccinia 250 gm  Rs. 27.90
Gopalan Organic Bhindi 250 gm  Rs. 49.90
Fresho Organically Grown - Bottle Gourd 500 gm  Rs. 8.90
Ambrosia Cluster Beans 250 gm  Rs. 54.90
Tvs Organics Broad Beans 500 gm  Rs. 19.90
Fresho Organically Grown - Brinjal Long green 500 gm  Rs. 44.90
First Agro Capsicum - Yukon Green approx 400 to 500 gm  Rs. 32.90
Fresho Organically Grown - Capsicum Green 500 gm  Rs. 29.90
Farmerie Organic - Onion Medium 500 gm  Rs. 44.90
Ambrosia Chilly Bajji 250 gm  Rs. 24.90
Gopalan Organic Tomato - Cherry 200 gm  Rs. 9.90
First Agro Bitter Gourds - Cocktail 250 gm  Rs. 34.90
Gopalan Organic Spinach 200 gm  Rs. 17
Tvs Organics Cluster beans 500 gm  Rs. 29.90
Tvs Organics Yam 1 pc approx. 800 gm to 1 kg  Rs. 32.90
Ambrosia Indian Cucumber 250 gm  Rs. 9.90
Ambrosia Capsicum - Red 250 gm  Rs. 23
Fresho Organically Grown - Banana Robusta 1 kg  Rs. 42.90
First Agro Cucumber - American Slicer 600 gm  Rs. 12.90
First Agro Ridge Gourd 1 pc  Rs. 12.90
Gopalan Organic Mint 50 gm  Rs. 29.90
Channahalli Certified Organic Lemon - Grade A 100 gm  Rs. 17.90
Fresho Organically Grown - Sambar Cucumber 1 kg  Rs. 44.90
Gopalan Organic Bitter Gourd 500 gm  Rs. 19.90
First Agro Baby Cabbage 500 gm  Rs. 29.90
Fresho Organically Grown - Chow Chow 500 gm  Rs. 59.90
Tvs Organics Knol Khol 500 gm  Rs. 49.90
Tvs Organics Ash Gourd 1 nos  Rs. 15.90
Gopalan Organic Ridge Gourd 1 kg  Rs. 24.90
Fresho Organically Grown - Capsicum Red 500 gm  Rs. 39.90
Ambrosia Cucumber - Kiddo 500 gm  Rs. 34.90
Ambrosia Coriander 100 gm  Rs. 29.90
Fresho Organically Grown - Capsicum Yellow 500 gm  Rs. 24.90
First Agro San Marzanos - Tomato 500 gm (Approx 400 to 500gm)  Rs. 144.90
Fresho Organically Grown - Sambar Onion 250 gm  Rs. 89.90
