Fresho Pomegranate - Peeled 200 gm Tray  Rs. 31
Fresho Garlic - Peeled 100 gm  Rs. 28
Fresho Jackfruit - Pulp 100 gm  Rs. 24
Fresho Pineapple - Sliced 1 Pc  Rs. 16
Fresho Diced - Sugarcane 200 gm Pack  Rs. 25
Fresho Cut - Fruit Salad 300 gm  Rs. 10
Fresho Sambar Onion - Peeled 200 gm Tray  Rs. 30
Fresho Yam - Diced 200 gm Tray  Rs. 13
Fresho Broccoli - Florets 200 gm  Rs. 27
Fresho Coriander Leaves 100 gm Tray  Rs. 27
Fresho Green Peas - Peeled 200 gm Tray  Rs. 73
Fresho Diced - Coconut 100 gm  Rs. 34.40
Fresho Ladies Finger - Diced 200 gm Tray  Rs. 19
Fresho Yellow Pumpkin - Avial Cut 200 gm Tray  Rs. 82
Fresho Cut Indian Fruit Pack 500 gm  Rs. 14
Fresho Beetroot - Diced 200 gm Tray  Rs. 10
Fresho Avial Pack 1 nos  Rs. 14
Fresho Beans Cluster - Diced 200 gm Tray  Rs. 13
Fresho Muskmelon - Diced 200 gm Tray  Rs. 39
Fresho Ginger - Chopped 100 gm  Rs. 25
Fresho Coccinea - Sliced 200 gm Tray  Rs. 10
Fresho Veg Biriyani Pack 1 nos  Rs. 28
Fresho Potato French Fries 200 gm Tray  Rs. 11
Fresho Carrots and Peas 200 Gms  Rs. 20
Fresho Drumstick - Cut 200 gm  Rs. 10
Fresho Yam - Sliced 200 gm Tray  Rs. 19
Fresho Beans - Diced 200 gm  Rs. 12
Fresho Broad Beans - Diced 200 gm Tray  Rs. 32
Edanta Foods Coconut - Grated 75 gm  Rs. 34.40
Fresho Raw Banana - Diced 200 gm Tray  Rs. 15
Fresho Beans - Julienne 200 gm Tray  Rs. 33
Fresho Coccinea - Julienne 200 gm Tray  Rs. 10
Fresho Banana Blossom - Peeled 1 PC Tray  Rs. 19
Fresho Red Cabbage - Grated 200 gm Tray  Rs. 27
Fresho Spinach - Chopped 200 gm  Rs. 18
Fresho Onion - Thin Sliced 200 gm  Rs. 16
Fresho Sliced Peppers 300 Gms  Rs. 17
Fresho Lettuce Mix 200 gm  Rs. 25
Fresho Amaranthus - Chopped 100 gm Tray  Rs. 15
Fresho Carrots - Julienne 200 gm Tray  Rs. 47
Fresho Beetroot - Julienne 200 gm Tray  Rs. 18
Fresho Bottle Gourd - Diced 200 gm  Rs. 10
Fresho Methi - Chopped 200 gm  Rs. 19
Fresho Red Onion Skinned - Peeled 1 Kg  Rs. 11
Supa Corn Kernels 150 gm Pouch  Rs. 21
Fresho Carrots Sliced, Brocoli Florets and Cauliflower Florets 300 Gms  Rs. 21
Fresho Ridge Gourd - Diced 300 gm  Rs. 21
Fresho Green Chilly - Chopped 100 gm Tray  Rs. 16
Fresho Soup & Stew Mix 250 gm  Rs. 37
Fresho Raw Banana - Sliced 200 gm Tray  Rs. 30
Fresho Carrot Strips and Beans Strip 200 Gms  Rs. 18
Fresho Korma Pack (for 2) 1 nos  Rs. 13
Fresho Mushroom - Stir Fry 400 gm Tray  Rs. 21
Fresho Potato - Wedges 250 gm  Rs. 16
Supa Corn Sweet Corn 1 pc Pouch  Rs. 10
Fresho Chow Chow - Diced 300 gm Tray  Rs. 10
Fresho Carrot Strips, Aloo Strips, Green peas peeled 250 Gms  Rs. 32
Fresho Veg Medley 200 gm  Rs. 83
Fresho Ridge Gourd  - Sliced 200 gm Tray  Rs. 49
Fresho Tomato - Diced 200 gm  Rs. 20
Fresho Karakozhmbu Pack ( Spicy Sambar pack) 1 nos  Rs. 55.20
Fresho Cut Indian Rice/ Noddles Mix 350 gm  Rs. 10
Fresho Kids Vegetables 400 gm  Rs. 10
Fresho Red Radish - Sliced 200 gm Tray  Rs. 34
Fresho Mix - Gobhi Parantha 200 gm Tray  Rs. 20
Fresho Chutney Mix 150 gm  Rs. 15
Fresho Coleslaw 400 gm Tray  Rs. 18
Fresho Turnip - Diced 200 gm Tray  Rs. 10
Fresho Aloo Mutter 1 pc  Rs. 57
Fresho Morekozhambu Pack 1 nos  Rs. 34
Fresho Pizza - Topping 400 gm Tray  Rs. 10
Fresho Snake gourd - Diced 300 gm  Rs. 24
Fresho Makhanwala - Mix 400 gm Tray  Rs. 35
Fresho Chow Chow Kootu Pack 1 nos  Rs. 16
Fresho Continental - Stir Fry 400 gm Tray  Rs. 30.40
Fresho Exotic Veg Hamper 1 nos  Rs. 14
Fresho Sweet Corn - Mexican 400 gm Tray  Rs. 20
Fresho Peeled Vegetable Pack 1 nos  Rs. 10
Fresho Cauliflower - Florets 1 no Tray  Rs. 10
Fresho Cut - Mushroom 100 gm  Rs. 40
Fresho Carrots - Grated 200 gm Tray  Rs. 26
